#Station Number    Run    Start    End    Run Type    antennaIceA#I1    antennaIceB#I1    opIceA#I1    opIceB#I1    attIceA#I1    attIceB#I1    Run_Start_Type    Run_End_Type    enableExtTrigger#I1    Quality    aComment    uComment
ARA01  10436   1518941282   1518962883       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10437   1518962884   1518984485       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10438   1518984487   1519006088       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10440   1519007124   1519028725       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10441   1519028727   1519050328       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10442   1519050330   1519071931       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10443   1519071933   1519093534       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10445   1519094572   1519116173       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10446   1519116175   1519137776       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10447   1519137778   1519159379       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10448   1519159381   1519180982       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10450   1519182017   1519187033       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10451   1519187035   1519208636       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10452   1519208638   1519230239       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10453   1519230241   1519251842       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10456   1519259983   1519281584       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10457   1519281586   1519303187       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10458   1519303189   1519324790       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10459   1519324792   1519346393       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10460   1519346395   1519367996       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10462   1519369032   1519390633       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10463   1519390635   1519412019       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10464   1519412021   1519425195       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10465   1519425197   1519446798       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10467   1519447831   1519469432       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10468   1519469434   1519482063       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
